escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-08-29T12:28:11,0,10.21,15.41,1301,52,24,255,6.794,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-08-29T12:28:41,0,10.4,15.26,1303,52,24,255,6.766,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-08-29T12:29:11,0,10.06,15.38,1301,51,24,230,6.788,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-08-29T12:29:41,0,10.22,15.65,1301,51,24,230,6.792,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-08-29T12:43:28,1,11.1,16.11,1304,51,24,230,6.761,13000,102,0,,,2026-08-29T10:45:41.431Z,P1,E2,N=1,1,102,0,65.7,0,waiting
E2,1,2,2026-08-29T12:43:59,1,10.66,15.94,1304,51,24,230,6.806,13000,177,0,,,2026-08-29T10:49:19.017Z,P1,E2,N=1,2,177,0,111.3,0,waiting
E2,1,3,2026-08-29T12:44:29,1,10.4,16.22,1305,51,24,254,6.791,13000,105,0,,,2026-08-29T10:54:35.528Z,P1,E2,N=1,3,105,0,87.5,0,waiting
E2,1,4,2026-08-29T12:44:59,1,10.67,16.29,1305,51,24,254,6.748,13000,160,0,,,2026-08-29T10:58:56.455Z,P1,E2,N=1,4,160,0,170.8,0,waiting
E2,2,1,2026-08-29T13:06:11,5,13.31,17.26,1305,51,28,251,6.788,11000,147,0,,,2026-08-29T12:32:28.256Z,P1,E2,N=5,1,147,0,91.6,0,waiting
E2,2,2,2026-08-29T13:06:41,5,13.39,17.29,1306,51,28,251,6.783,11000,105,0,,,2026-08-29T12:34:14.611Z,P1,E2,N=5,2,105,0,74,0,waiting
E2,2,3,2026-08-29T13:07:11,5,13.15,17.26,1307,51,26,221,6.787,11000,116,0,,,2026-08-29T12:36:58.306Z,P1,E2,N=5,3,116,0,138.6,0,waiting
E2,2,4,2026-08-29T13:07:41,5,12.96,17.49,1307,51,26,221,6.78,11000,107,0,,,2026-08-29T12:39:20.630Z,P1,E2,N=5,4,107,0,125,0,waiting
E2,3,1,2026-08-29T14:44:44,10,12.12,16.53,1311,51,27,231,6.787,13000,108,0,,,2026-08-29T12:57:40.195Z,P1,E2,N=10,1,108,0,248.2,0,waiting
E2,3,2,2026-08-29T14:45:14,10,11.21,16.42,1310,51,29,253,6.772,13000,106,0,,,2026-08-29T13:00:20.701Z,P1,E2,N=10,2,106,0,142.4,0,waiting
E2,3,3,2026-08-29T14:45:45,10,10.6,16.44,1311,51,29,253,6.775,13000,110,0,,,2026-08-29T13:02:56.567Z,P1,E2,N=10,3,110,0,145,0,waiting
E2,3,4,2026-08-29T14:46:15,10,10.6,16.39,1311,52,28,230,6.788,13000,192,0,,,2026-08-29T13:05:03.887Z,P1,E2,N=10,4,192,0,114.1,0,waiting
E2,4,1,2026-08-29T15:10:35,25,12.02,16.71,1311,51,29,226,6.769,11000,105,0,,,2026-08-29T13:21:21.250Z,P1,E2,N=25,1,105,0,179.3,0,waiting
E2,4,2,2026-08-29T15:11:05,25,12.13,16.67,1311,51,29,226,6.777,11000,141,0,,,2026-08-29T13:24:31.498Z,P1,E2,N=25,2,141,0,176.1,0,waiting
E2,4,3,2026-08-29T15:11:35,25,12.12,16.65,1312,51,28,251,6.789,11000,105,0,,,2026-08-29T13:27:23.795Z,P1,E2,N=25,3,105,0,156.9,0,waiting
E2,4,4,2026-08-29T15:12:06,25,12.12,16.65,1311,51,28,251,6.788,11000,118,0,,,2026-08-29T13:31:02.761Z,P1,E2,N=25,4,118,0,203.4,0,waiting
E3,1,1,2026-09-01T11:55:02,6,10.85,8.94,1284,51,21,163,7.068,31000,2626,7.11,,,2026-09-01T09:58:58.353Z,P1,E3,N=5,1,2626,9,76,7.11,waiting
E3,1,2,2026-09-01T11:55:34,6,10.16,9,1285,51,21,163,7.025,30000,3663,6.4,,,2026-09-01T10:01:45.851Z,P1,E3,N=5,2,3663,15,140.7,6.4,waiting
E3,1,3,2026-09-01T11:56:06,6,9.52,8.95,1286,51,22,227,5.614,28000,4924,8.14,,,2026-09-01T10:04:39.389Z,P1,E3,N=5,3,4924,14,103.2,8.14,waiting
E3,1,4,2026-09-01T11:56:37,6,9.49,9.03,1287,51,22,227,7.456,26000,6442,7.63,,,2026-09-01T10:07:29.961Z,P1,E3,N=5,4,6442,20,157.3,7.63,waiting
E3,2,1,2026-09-01T12:19:28,6,9.16,9.55,1292,52,2,190,0.743,N/A,117,3.41,"los pods no se caen, pero dejan de responder",,2026-09-01T10:21:30.062Z,P1,E3,N=5,1,117,18,316.4,3.41,waiting
E3,2,2,2026-09-01T12:20:06,6,9.18,9.52,1295,52,4,198,0.904,N/A,N/A,N/A,"los pods no se caen, pero dejan de responder y no muestra imagen",,2026-09-01T10:24:10.178Z,P1,E3,N=5,2,,0,143.8,0,waiting
E3,2,3,2026-09-01T12:20:46,6,9.21,9.54,1295,52,3,198,0.804,N/A,N/A,N/A,"los pods no se caen, pero dejan de responder y no muestra imagen",,2026-09-01T10:26:47.696Z,P1,E3,N=5,3,,0,141.7,0,waiting
E3,2,4,2026-09-01T12:21:24,5,9.1,9.53,1296,51,3,198,0.641,N/A,N/A,N/A,"los pods no se caen, pero dejan de responder y no muestra imagen",,2026-09-01T10:30:22.148Z,P1,E3,N=5,4,,0,206.9,0,waiting
